## Filter transmission curves for all possible HRC filters
## EE is encircled energy (%) at a given radius in pixels
## arcsec. EEERR is the std dev. 
## From M Sirianni
##
## K Anderson, 3-10-2003
##
# 1	radius_pix
# 2	radius_asec
# 3	EE_F220W
# 4	EEERR_F220W
# 5	EE_F250W
# 6	EEERR_F250W
# 7	EE_F330W
# 8	EEERR_F330W
# 9	EE_F334N
# 10	EEERR_F334N
# 11	EE_F435W
# 12	EEERR_F435W
# 13	EE_F475W
# 14	EEERR_F475W
# 15	EE_F502N
# 16	EEERR_F502N
# 17	EE_F550M
# 18	EEERR_F550M
# 19	EE_F555W
# 20	EEERR_F555W
# 21	EE_F606W
# 22	EEERR_F606W
# 23	EE_F625W
# 24	EEERR_F625W
# 25	EE_F658N
# 26	EEERR_F658N
# 27	EE_F660N
# 28	EEERR_F660N
# 29	EE_F775W
# 30	EEERR_F775W
# 31	EE_F814W
# 32	EEERR_F814W
# 33	EE_F850LP
# 34	EEERR_F850LP
# 35	EE_F892N
# 36	EEERR_F892N
##                     F220W            F250W          F330W           F334N           F435W           F475W           F502N           F550M           F555W           F606W           F625W            F658N           F660N            F775W           F814W          F850LP          F892N  
##   pix     asec    ee      std     ee       std   avge    stdev  avge     stdev   avge    stdev   avge    stdev   average stdev   avge    stdev   avge    stdev   avge    stdev   avge     stdev  avge    stdev   avge    stdev   avge    stdev   avge    stdev   avge    stdev   avge    stdev
  38.000   0.950  94.761   0.193  94.542   0.116  93.794   0.261  93.954   0.293  94.509   0.068  94.472   0.317  94.571   0.095  94.816   0.050  95.085   0.084  95.033   0.163  94.845   0.144  94.444   0.136  93.366   0.119  92.557   0.123  89.868   0.105  81.664   0.334  82.548   0.578
  39.000   0.975  95.004   0.193  94.817   0.115  93.983   0.260  94.140   0.293  94.631   0.067  94.581   0.313  94.686   0.094  94.904   0.046  95.178   0.085  95.122   0.160  94.921   0.142  94.539   0.131  93.475   0.119  92.717   0.122  90.064   0.105  81.980   0.332  82.848   0.575
  40.000   1.000  95.228   0.194  95.077   0.116  94.176   0.262  94.301   0.291  94.760   0.070  94.696   0.312  94.817   0.096  94.985   0.044  95.274   0.087  95.216   0.158  94.997   0.142  94.608   0.128  93.552   0.117  92.868   0.125  90.253   0.107  82.308   0.329  83.141   0.578
  41.000   1.025  95.436   0.193  95.322   0.118  94.378   0.264  94.457   0.290  94.888   0.071  94.814   0.309  94.922   0.097  95.065   0.042  95.370   0.089  95.308   0.158  95.073   0.141  94.670   0.129  93.608   0.116  93.011   0.127  90.435   0.109  82.640   0.324  83.428   0.579
  42.000   1.050  95.635   0.191  95.550   0.118  94.583   0.265  94.628   0.297  95.014   0.068  94.930   0.309  95.008   0.098  95.152   0.042  95.465   0.089  95.394   0.158  95.150   0.139  94.735   0.129  93.679   0.115  93.142   0.127  90.608   0.108  83.249   0.133  83.756   0.579
  43.000   1.075  95.819   0.193  95.766   0.117  94.796   0.262  94.821   0.302  95.144   0.069  95.041   0.311  95.096   0.097  95.248   0.043  95.554   0.093  95.481   0.159  95.227   0.135  94.796   0.130  93.755   0.113  93.267   0.127  90.777   0.106  83.557   0.126  84.099   0.574
  44.000   1.100  95.980   0.195  95.969   0.115  95.009   0.260  95.031   0.303  95.272   0.067  95.150   0.310  95.187   0.097  95.346   0.044  95.643   0.094  95.567   0.161  95.309   0.134  94.865   0.133  93.836   0.109  93.387   0.129  90.942   0.106  83.861   0.124  84.387   0.570
  45.000   1.125  96.128   0.195  96.151   0.111  95.215   0.260  95.262   0.306  95.399   0.068  95.261   0.309  95.289   0.102  95.435   0.043  95.730   0.095  95.650   0.162  95.388   0.136  94.954   0.136  93.934   0.105  93.502   0.129  91.098   0.106  84.156   0.121  84.636   0.570
  46.000   1.150  96.269   0.192  96.319   0.111  95.413   0.257  95.506   0.308  95.530   0.069  95.374   0.308  95.378   0.104  95.520   0.039  95.816   0.094  95.735   0.161  95.467   0.137  95.031   0.136  94.021   0.104  93.612   0.128  91.247   0.105  84.437   0.119  84.879   0.569
  47.000   1.175  96.391   0.188  96.480   0.111  95.605   0.259  95.702   0.311  95.645   0.069  95.479   0.309  95.465   0.100  95.598   0.035  95.908   0.095  95.813   0.159  95.544   0.135  95.091   0.133  94.085   0.104  93.716   0.129  91.302   0.049  84.712   0.115  85.118   0.568
